date,time,x-edge-location,sc-bytes,c-ip,cs-method,cs\(Host),cs-uri-stem,sc-status,cs\(Referer),cs\(User-Agent),cs-uri-query,cs\(Cookie),x-edge-result-type,x-edge-request-id,x-host-header,cs-protocol,cs-bytes,time-taken,x-forwarded-for,ssl-protocol,ssl-cipher,x-edge-response-result-type,cs-protocol-version,fle-status,fle-encrypted-fields,c-port,time-to-first-byte,x-edge-detailed-result-type,sc-content-type,sc-content-len,sc-range-start,sc-range-end
2026-06-21,12:01:32,FRA60-P10,610,205.210.31.49,GET,d3hvigpzpqmguz.cloudfront.net,/,301,-,Hello%20from%20Palo%20Alto%20Networks%20find%20out%20more%20about%20our%20scans%20in%20https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity,-,-,Redirect,4LvIsBy9MmLogz5CJ3cSVBtX1LDEFinwjYIjF7Lh0yOEu0VpVqh3ig\=\=,d3hvigpzpqmguz.amplifyapp.com,http,209,0.000,-,-,-,Redirect,HTTP/1.1,-,-,60444,0.000,Redirect,text/html,167,-,-
2026-06-21,12:01:33,ORD58-P7,334,205.210.31.49,GET,d3hvigpzpqmguz.cloudfront.net,/,404,http://d3hvigpzpqmguz.amplifyapp.com/,Hello%20from%20Palo%20Alto%20Networks%20find%20out%20more%20about%20our%20scans%20in%20https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity,-,-,Error,2i2Eg2Nz0cawRfvN0VCgH9zNNDpJYQeXVnXa3m00BobEMBojxiW_-w\=\=,d3hvigpzpqmguz.amplifyapp.com,https,257,0.214,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,61072,0.214,Error,-,0,-,-
2026-06-21,12:10:39,ORD58-P7,334,205.210.31.25,GET,d3hvigpzpqmguz.cloudfront.net,/,404,http://d3hvigpzpqmguz.amplifyapp.com/,Hello%20from%20Palo%20Alto%20Networks%20find%20out%20more%20about%20our%20scans%20in%20https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity,-,-,Error,lQFlWrQmzcOSPBbpmRP5YJClyswhIm9F7awgxSf7TSJ6Cp7Osl1Syg\=\=,d3hvigpzpqmguz.amplifyapp.com,https,257,0.213,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,63268,0.213,Error,-,0,-,-
2026-06-21,12:10:39,TLV55-P3,609,205.210.31.25,GET,d3hvigpzpqmguz.cloudfront.net,/,301,-,Hello%20from%20Palo%20Alto%20Networks%20find%20out%20more%20about%20our%20scans%20in%20https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity,-,-,Redirect,n9OV--R1eUAAhslI-cGFvNzaoBkC0lz9r0ICCb3mfW9UAgi093C3YA\=\=,d3hvigpzpqmguz.amplifyapp.com,http,209,0.003,-,-,-,Redirect,HTTP/1.1,-,-,59900,0.003,Redirect,text/html,167,-,-
2026-06-21,13:45:26,FRA60-P10,610,205.210.31.83,GET,d3hvigpzpqmguz.cloudfront.net,/,301,-,Hello%20from%20Palo%20Alto%20Networks%20find%20out%20more%20about%20our%20scans%20in%20https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity,-,-,Redirect,5KWb8FoKBjDJOs8xrdqTlrPZmN83ZGQAsbNOnJNcLgi5iHTP80mJCQ\=\=,d3hvigpzpqmguz.amplifyapp.com,http,209,0.000,-,-,-,Redirect,HTTP/1.1,-,-,60592,0.000,Redirect,text/html,167,-,-
2026-06-21,13:20:37,LHR82-P2,334,198.235.24.173,GET,d3hvigpzpqmguz.cloudfront.net,/,404,http://www.d3hvigpzpqmguz.amplifyapp.com/,Hello%20from%20Palo%20Alto%20Networks%20find%20out%20more%20about%20our%20scans%20in%20https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity,-,-,Error,lZBgDi3h7UdMJ6jDHJMsyEHS5LNq7Q_66_u0OK0wn0LkGLpRniGIMw\=\=,www.d3hvigpzpqmguz.amplifyapp.com,https,265,0.126,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,59280,0.126,Error,-,0,-,-
2026-06-21,13:20:37,PNQ50-P2,613,198.235.24.173,GET,d3hvigpzpqmguz.cloudfront.net,/,301,-,Hello%20from%20Palo%20Alto%20Networks%20find%20out%20more%20about%20our%20scans%20in%20https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity,-,-,Redirect,gZ51D9olY8iRsI044a1bWcDtlVWSC2j5rGCb6Ar45Wz8jEdSIA_i4w\=\=,www.d3hvigpzpqmguz.amplifyapp.com,http,213,0.002,-,-,-,Redirect,HTTP/1.1,-,-,64644,0.002,Redirect,text/html,167,-,-
2026-06-21,14:02:27,PNQ50-P2,334,205.210.31.45,GET,d3hvigpzpqmguz.cloudfront.net,/,404,-,Hello%20from%20Palo%20Alto%20Networks%20find%20out%20more%20about%20our%20scans%20in%20https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity,-,-,Error,Fhjf4QMApHrQPhvHHb-4A5BqRKP1k3i0GkFK85NYRSxByPLYmor4Kw\=\=,www.d3hvigpzpqmguz.amplifyapp.com,https,213,0.024,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,60816,0.024,Error,-,0,-,-
2026-06-21,14:04:55,LAX50-P4,334,205.210.31.12,GET,d3hvigpzpqmguz.cloudfront.net,/,404,-,Hello%20from%20Palo%20Alto%20Networks%20find%20out%20more%20about%20our%20scans%20in%20https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity,-,-,Error,MR1Xnh6TVEW5k8E9hUj8n2l4BJVa0rYbifsaS2N9Cd3YmgAu96Z-3A\=\=,d3hvigpzpqmguz.amplifyapp.com,https,209,0.249,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,60842,0.249,Error,-,0,-,-
2026-06-21,15:27:43,GRU3-P3,608,205.210.31.168,GET,d3hvigpzpqmguz.cloudfront.net,/,301,-,Hello%20from%20Palo%20Alto%20Networks%20find%20out%20more%20about%20our%20scans%20in%20https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity,-,-,Redirect,QebUH2h-ZCwmBImwOrStMW9BAjMDhjf7y0l8bBL1I7hvF5NcK7RIGw\=\=,d3hvigpzpqmguz.amplifyapp.com,http,209,0.002,-,-,-,Redirect,HTTP/1.1,-,-,62438,0.002,Redirect,text/html,167,-,-
