Question ID,Question,Response Type,Response Value / Range,Triggered Tag Category,Triggered Tag
CQ01,What is your date of birth?,Date input,Under 18,Context Fit,age_under_18
CQ01,What is your date of birth?,Date input,18–24,Context Fit,age_18_24
CQ01,What is your date of birth?,Date input,25–34,Context Fit,age_25_34
CQ01,What is your date of birth?,Date input,35–44,Context Fit,age_35_44
CQ01,What is your date of birth?,Date input,45–54,Context Fit,age_45_54
CQ01,What is your date of birth?,Date input,55+,Context Fit,age_55_plus
CQ02,What is your gender?,Single select,Male,Context Fit,gender_male
CQ02,What is your gender?,Single select,Female,Context Fit,gender_female
CQ02,What is your gender?,Single select,Non-binary,Context Fit,gender_non_binary
CQ02,What is your gender?,Single select,Prefer not to say,Context Fit,gender_prefer_not_to_say
CQ03,Which of the following best describes your current work or lifestyle situation?,Single select,Mostly desk-based work,Context Fit,work_desk_based
CQ03,Which of the following best describes your current work or lifestyle situation?,Single select,Hybrid work,Context Fit,work_hybrid
CQ03,Which of the following best describes your current work or lifestyle situation?,Single select,Remote work,Context Fit,work_remote
CQ03,Which of the following best describes your current work or lifestyle situation?,Single select,Shift-based work,Context Fit,work_shift_based
CQ03,Which of the following best describes your current work or lifestyle situation?,Single select,Physically demanding work,Context Fit,work_physically_demanding
CQ03,Which of the following best describes your current work or lifestyle situation?,Single select,Travel-heavy work,Context Fit,work_travel_heavy
CQ03,Which of the following best describes your current work or lifestyle situation?,Single select,Homemaker / caregiving responsibilities,Context Fit,lifestyle_caregiving
CQ03,Which of the following best describes your current work or lifestyle situation?,Single select,Student,Context Fit,lifestyle_student
CQ03,Which of the following best describes your current work or lifestyle situation?,Single select,Currently not working,Context Fit,lifestyle_not_working
CQ04,How stressful is your current routine?,Scale,1–2 out of 7,Context Fit,stress_low
CQ04,How stressful is your current routine?,Scale,3–5 out of 7,Context Fit,stress_moderate
CQ04,How stressful is your current routine?,Scale,6–7 out of 7,Context Fit,stress_high
CQ05,How much time can you realistically dedicate to your wellness routine on most days?,Single select,Less than 10 minutes,Context Fit,time_under_10_min
CQ05,How much time can you realistically dedicate to your wellness routine on most days?,Single select,10–20 minutes,Context Fit,time_10_20_min
CQ05,How much time can you realistically dedicate to your wellness routine on most days?,Single select,20–30 minutes,Context Fit,time_20_30_min
CQ05,How much time can you realistically dedicate to your wellness routine on most days?,Single select,30–45 minutes,Context Fit,time_30_45_min
CQ05,How much time can you realistically dedicate to your wellness routine on most days?,Single select,45–60 minutes,Context Fit,time_45_60_min
CQ05,How much time can you realistically dedicate to your wellness routine on most days?,Single select,More than 60 minutes,Context Fit,time_over_60_min
CQ06,Which option best describes your current fitness level?,Single select,Beginner: I rarely exercise or I am just starting out,Context Fit,fitness_beginner
CQ06,Which option best describes your current fitness level?,Single select,Restarting: I used to exercise but have taken a break,Context Fit,fitness_restarting
CQ06,Which option best describes your current fitness level?,Single select,Intermediate: I exercise occasionally but not consistently,Context Fit,fitness_intermediate
CQ06,Which option best describes your current fitness level?,Single select,Consistent: I train regularly,Context Fit,fitness_consistent
CQ06,Which option best describes your current fitness level?,Single select,Advanced: I follow structured training programs,Context Fit,fitness_advanced
CQ07,Which option best describes your usual daily activity level?,Single select,"Sedentary: Mostly sitting, very little walking or movement",Context Fit,activity_sedentary
CQ07,Which option best describes your usual daily activity level?,Single select,"Lightly active: Some walking or movement, but no regular physical workload",Context Fit,activity_light
CQ07,Which option best describes your usual daily activity level?,Single select,"Moderately active: Regular walking, movement, or light physical activity most days",Context Fit,activity_moderate
CQ07,Which option best describes your usual daily activity level?,Single select,"Very active: Physically active job, frequent movement, or regular intense activity",Context Fit,activity_very_active
CQ08,How would you rate your sleep quality on most days?,Single select,Very poor,Context Fit,sleep_quality_very_poor
CQ08,How would you rate your sleep quality on most days?,Single select,Poor,Context Fit,sleep_quality_poor
CQ08,How would you rate your sleep quality on most days?,Single select,Average,Context Fit,sleep_quality_average
CQ08,How would you rate your sleep quality on most days?,Single select,Good,Context Fit,sleep_quality_good
CQ08,How would you rate your sleep quality on most days?,Single select,Excellent,Context Fit,sleep_quality_excellent
CQ09,How many hours do you usually sleep per night?,Single select,Less than 5 hours,Context Fit,sleep_under_5_hours
CQ09,How many hours do you usually sleep per night?,Single select,5–6 hours,Context Fit,sleep_5_6_hours
CQ09,How many hours do you usually sleep per night?,Single select,6–7 hours,Context Fit,sleep_6_7_hours
CQ09,How many hours do you usually sleep per night?,Single select,7–8 hours,Context Fit,sleep_7_8_hours
CQ09,How many hours do you usually sleep per night?,Single select,More than 8 hours,Context Fit,sleep_over_8_hours
CQ10,Where would you prefer to exercise or be physically active?,Single select,At home,Context Fit,environment_home
CQ10,Where would you prefer to exercise or be physically active?,Single select,At a gym,Context Fit,environment_gym
CQ10,Where would you prefer to exercise or be physically active?,Single select,Outdoors,Context Fit,environment_outdoors
CQ10,Where would you prefer to exercise or be physically active?,Single select,Group classes,Context Fit,environment_group_classes
CQ10,Where would you prefer to exercise or be physically active?,Single select,With a personal trainer,Context Fit,environment_personal_trainer
CQ10,Where would you prefer to exercise or be physically active?,Single select,No preference,Context Fit,environment_no_preference
CQ11,Which option best describes your usual food pattern?,Single select,Vegetarian,Context Fit,food_vegetarian
